Title,Authors,Link
Identification of a novel Golgi-localized putative glycosyltransferase protein inArabidopsis thaliana,"Natalia Rzepecka, Yoko Ito, Kei Yura, Emi Ito, Tomohiro Uemura",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing inArabidopsis thaliana","Rahul Roy, Diane C Bassham",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/
Gravitropism and Lateral Root Emergence are Dependent on theTrans-Golgi Network Protein TNO1,"Rahul Roy, Diane C Bassham",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing inArabidopsis thaliana","Rahul Roy, Diane C Bassham",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/
TheDrosophilaSUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus,"Martin P Kracklauer, Heather M Wiora, William J Deery, Xin Chen, Benjamin Bolival, Jr, Dwight Romanowicz, Rebecca A Simonette, Margaret T Fuller, Janice A Fischer, Kathleen M Beckingham",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/
Toll Mediated Infection Response Is Altered by Gravity and Spaceflight inDrosophila,"Katherine Taylor, Kurt Kleinhesselink, Michael D George, Rachel Morgan, Tangi Smallwood, Ann S Hammonds, Patrick M Fuller, Perot Saelao, Jeff Alley, Allen G Gibbs, Deborah K Hoshizaki, Laurence von Kalm, Charles A Fuller, Kathleen M Beckingham, Deborah A Kimbrell",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/
Author Correction: Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,"Afshin Beheshti, Kaushik Chakravarty, Homer Fogle, Hossein Fazelinia, Willian A da Silveira, Valery Boyko, San-Huei Lai Polo, Amanda M Saravia-Butler, Gary Hardiman, Deanne Taylor, Jonathan M Galazka, Sylvain V Costes",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/
GeneLab Database Analyses Suggest Long-Term Impact of Space Radiation on the Cardiovascular System by the Activation ofFYNThrough Reactive Oxygen Species,"Afshin Beheshti, J Tyson McDonald, Jack Miller, Peter Grabham, Sylvain V Costes",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/
FAIRness and Usability for Open-access Omics Data Systems,"Daniel C Berrios, Afshin Beheshti, Sylvain V Costes",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/
NASA GeneLab Platform Utilized for Biological Response to Space Radiation in Animal Models,"J Tyson McDonald, Robert Stainforth, Jack Miller, Thomas Cahill, Willian A da Silveira, Komal S Rathi, Gary Hardiman, Deanne Taylor, Sylvain V Costes, Vinita Chauhan, Robert Meller, Afshin Beheshti",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/
Circulating miRNA Spaceflight Signature Reveals Targets for Countermeasure Development,"Sherina Malkani, Christopher R Chin, Egle Cekanaviciute, Marie Mortreux, Hazeem Okinula, Marcel Tarbier, Ann-Sofie Schreurs, Yasaman Shirazi-Fard, Candice GT Tahimic, Deyra N Rodriguez, Brittany S Sexton, Daniel Butler, Akanksha Verma, Daniela Bezdan, Ceyda Durmaz, Matthew MacKay, Ari Melnick, Cem Meydan, Sheng Li, Francine Garrett-Bakelman, Bastian Fromm, Ebrahim Afshinnekoo, Brad W Langhorst, Eileen T Dimalanta, Margareth Cheng-Campbell, Elizabeth Blaber, Jonathan C Schisler, Charles Vanderburg, Marc R Friedländer, J Tyson McDonald, Sylvain V Costes, Seward Rutkove, Peter Grabham, Christopher E Mason, Afshin Beheshti",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/
Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,"Pedro Madrigal, Nitin K Singh, Jason M Wood, Elena Gaudioso, Félix Hernández-del-Olmo, Christopher E Mason, Kasthuri Venkateswaran, Afshin Beheshti",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/
Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,"Rosa Drago-Ferrante, Riccardo Di Fiore, Fathi Karouia, Yashwanth Subbannayya, Saswati Das, Begum Aydogan Mathyk, Shehbeel Arif, Ana Paula Guevara-Cerdán, Allen Seylani, Aman Singh Galsinh, Weronika Kukulska, Joseph Borg, Sherif Suleiman, David Marshall Porterfield, Andrea Camera, Lane K Christenson, April Elizabeth Ronca, Jonathan G Steller, Afshin Beheshti, Jean Calleja-Agius",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/
Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice,"Geraldine Vitry, Rebecca Finch, Gavin Mcstay, Afshin Behesti, Sébastien Déjean, Tricia Larose, Virginia Wotring, Willian Abraham da Silveira",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/
Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,"Adrian Perdyan, Marcin Jąkalski, Monika Horbacz, Afshin Beheshti, Jakub Mieczkowski",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/
"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: host extracellular to systemic effects of SARS-CoV-2 infection","S Anand Narayanan, David A Jamison, Jr, Joseph W Guarnieri, Victoria Zaksas, Michael Topper, Andrew P Koutnik, Jiwoon Park, Kevin B Clark, Francisco J Enguita, Ana Lúcia Leitão, Saswati Das, Pedro M Moraes-Vieira, Diego Galeano, Christopher E Mason, Nídia S Trovão, Robert E Schwartz, Jonathan C Schisler, Jordana G A Coelho-dos-Reis, Eve Syrkin Wurtele, Afshin Beheshti",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/
Aging and putative frailty biomarkers are altered by spaceflight,"Andrea Camera, Marshall Tabetah, Veronica Castañeda, JangKeun Kim, Aman Singh Galsinh, Alissen Haro-Vinueza, Ivonne Salinas, Allen Seylani, Shehbeel Arif, Saswati Das, Marcelo A Mori, Anthony Carano, Lorraine Christine de Oliveira, Masafumi Muratani, Richard Barker, Victoria Zaksas, Chirag Goel, Eleni Dimokidis, Deanne M Taylor, Jisu Jeong, Eliah Overbey, Cem Meydan, D Marshall Porterfield, Juan Esteban Díaz, Andrés Caicedo, Jonathan C Schisler, Evagelia C Laiakis, Christopher E Mason, Man S Kim, Fathi Karouia, Nathaniel J Szewczyk, Afshin Beheshti",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166946/
Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,"J Tyson McDonald, JangKeun Kim, Lily Farmerie, Meghan L Johnson, Nidia S Trovao, Shehbeel Arif, Keith Siew, Sergey Tsoy, Yaron Bram, Jiwoon Park, Eliah Overbey, Krista Ryon, Jeffrey Haltom, Urminder Singh, Francisco J Enguita, Victoria Zaksas, Joseph W Guarnieri, Michael Topper, Douglas C Wallace, Cem Meydan, Stephen Baylin, Robert Meller, Masafumi Muratani, D Marshall Porterfield, Brett Kaufman, Marcelo A Mori, Stephen B Walsh, Dominique Sigaudo-Roussel, Saida Mebarek, Massimo Bottini, Christophe A Marquette, Eve Syrkin Wurtele, Robert E Schwartz, Diego Galeano, Christopher E Mason, Peter Grabham, Afshin Beheshti",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/
Ethical considerations for the age of non-governmental space exploration,"Allen Seylani, Aman Singh Galsinh, Alexia Tasoula, Anu R I, Andrea Camera, Jean Calleja-Agius, Joseph Borg, Chirag Goel, JangKeun Kim, Kevin B Clark, Saswati Das, Shehbeel Arif, Michael Boerrigter, Caroline Coffey, Nathaniel Szewczyk, Christopher E Mason, Maria Manoli, Fathi Karouia, Hansjörg Schwertz, Afshin Beheshti, Dana Tulodziecki",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166968/
Spaceflight and simulated microgravity conditions increase virulence ofSerratia marcescensin theDrosophila melanogasterinfection model,"Rachel Gilbert, Medaya Torres, Rachel Clemens, Shannon Hateley, Ravikumar Hosamani, William Wade, Sharmila Bhattacharya",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/
Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling inDrosophila,"Stanley Walls, Soda Diop, Ryan Birse, Lisa Elmen, Zhuohui Gan, Sreehari Kalvakuri, Santiago Pineda, Curran Reddy, Erika Taylor, Bosco Trinh, Georg Vogler, Rachel Zarndt, Andrew McCulloch, Peter Lee, Sharmila Bhattacharya, Rolf Bodmer, Karen Ocorr",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787258/
Bundling up the Role of the Actin Cytoskeleton in Primary Root Growth,"Judith García-González, Kasper van Gelderen",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8716943/
HLB1 Is a Tetratricopeptide Repeat Domain-Containing Protein That Operates at the Intersection of the Exocytic and Endocytic Pathways at the TGN/EE in Arabidopsis[OPEN],"J Alan Sparks, Taegun Kwon, Luciana Renna, Fuqi Liao, Federica Brandizzi, Elison B Blancaflor",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4826010/
ERULUS Is a Plasma Membrane-Localized Receptor-Like Kinase That Specifies Root Hair Growth by Maintaining Tip-Focused Cytoplasmic Calcium Oscillations[OPEN],"Taegun Kwon, J Alan Sparks, Fuqi Liao, Elison B Blancaflor",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6048781/
Brassinosteroids Inhibit Autotropic Root Straightening by Modifying Filamentous-Actin Organization and Dynamics,"Louise de Bang, Ana Paez-Garcia, Ashley E Cannon, Sabrina Chin, Jaydeep Kolape, Fuqi Liao, J Alan Sparks, Qingzhen Jiang, Elison B Blancaflor",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010715/
Cell Type-Specific Imaging of Calcium Signaling inArabidopsis thalianaSeedling Roots Using GCaMP3,"William Krogman, J Alan Sparks, Elison B Blancaflor",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7503278/
Spatial and temporal localization of SPIRRIG and WAVE/SCAR reveal roles for these proteins in actin-mediated root hair development,"Sabrina Chin, Taegun Kwon, Bibi Rafeiza Khan, J Alan Sparks, Eileen L Mallery, Daniel B Szymanski, Elison B Blancaflor",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8364238/
Impact of microgravity and lunar gravity on murine skeletal and immune systems during space travel,"Yui Okamura, Kei Gochi, Tatsuya Ishikawa, Takuto Hayashi, Sayaka Fuseya, Riku Suzuki, Maho Kanai, Yuri Inoue, Yuka Murakami, Shunya Sadaki, Hyojung Jeon, Mio Hayama, Hiroto Ishii, Yuki Tsunakawa, Hiroki Ochi, Shingo Sato, Michito Hamada, Chikara Abe, Hironobu Morita, Risa Okada, Dai Shiba, Masafumi Muratani, Masahiro Shinohara, Taishin Akiyama, Takashi Kudo, Satoru Takahashi",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11579474/
S. aureusMscL Is a Pentamer In Vivo but of Variable Stoichiometries In Vitro: Implications for Detergent-Solubilized Membrane Proteins,"Michael R Dorwart, Robin Wray, Chad A Brautigam, Youxing Jiang, Paul Blount",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2998437/
Manipulating the permeation of charged compounds through the MscL nanovalve,"Li-Min Yang, Paul Blount",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3005423/
The oligomeric state of the truncated mechanosensitive channel of large conductance shows no variancein vivo,"Irene Iscla, Robin Wray, Paul Blount",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3190158/
Three Routes to Modulate the Pore Size of the MscL Channel/Nanovalve,"Li-Min Yang, Robin Wray, Juandell Parker, Danyell Wilson, Randolph S Duran, Paul Blount",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3289768/
The dynamics of protein-protein interactions between domains of MscL at the cytoplasmic-lipid interface,"Irene Iscla, Robin Wray, Paul Blount",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3508904/
The MscS and MscL Families of Mechanosensitive Channels Act as Microbial Emergency Release Valves,"Ian R Booth, Paul Blount",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3430326/
Chimeras reveal a single lipid-interface residue that controls MscL channel kinetics as well as mechanosensitivity,"Li-Min Yang, Dalian Zhong, Paul Blount",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3593973/
"Correction for Boothby et al., Evidence for extensive horizontal gene transfer from the draft genome of a tardigrade",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5018776/
Reply to Bemm et al. and Arakawa: Identifying foreign genes in independentHypsibius dujardinigenome assemblies,"Thomas C Boothby, Bob Goldstein",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4896697/
Tardigrade secretory proteins protect biological structures from desiccation,"Samuel Lim, Charles B Reilly, Zeina Barghouti, Benedetto Marelli, Jeffrey C Way, Pamela A Silver",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11127935/
Correction to: The Evolution of Temperature and Desiccation-Related Protein Families in Tardigrada Reveals a Complex Acquisition of Extremotolerance,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11831363/
Possible roles of CAHS proteins from Tardigrade in osmotic stress tolerance in mammalian cells,"Takahiro Bino, Yuhei Goto, Gembu Maryu, Kazuharu Arakawa, Kazuhiro Aoki",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11930778/
Production of reactive oxygen species and involvement of bioprotectants during anhydrobiosis in the tardigradeParamacrobiotus spatialis,"Ilaria Giovannini, Thomas C Boothby, Michele Cesari, Bob Goldstein, Roberto Guidetti, Lorena Rebecchi",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8816950/
Partial weight suspension: a novel murine model for investigating adaptation to reduced musculoskeletal loading,"Erika B Wagner, Nicholas P Granzella, Hiroaki Saito, Dava J Newman, Laurence R Young, Mary L Bouxsein",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3774184/
"Partial Reductions in Mechanical Loading Yield Proportional Changes in Bone Density, Bone Architecture, and Muscle Mass","Rachel Ellman, Jordan Spatz, Alison Cloutier, Rupert Palme, Blaine A Christiansen, Mary L Bouxsein",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4118556/
Spaceflight and hind limb unloading induce similar changes in electrical impedance characteristics of mouse gastrocnemius muscle,"M Sung, J Li, AJ Spieker, J Spatz, R Ellman, VL Ferguson, TA Bateman, GD Rosen, M Bouxsein, SB Rutkove",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653813/
Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,"Afshin Beheshti, Kaushik Chakravarty, Homer Fogle, Hossein Fazelinia, Willian A da Silveira, Valery Boyko, San-Huei Lai Polo, Amanda M Saravia-Butler, Gary Hardiman, Deanne Taylor, Jonathan M Galazka, Sylvain V Costes",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6915713/
Treatment With a Soluble Bone Morphogenetic Protein Type 1A Receptor (BMPR1A) Fusion Protein Increases Bone Mass and Bone Formation in Mice Subjected to Hindlimb Unloading,"Frank C Ko, Miranda Van Vliet, Rachel Ellman, Daniel Grasso, Daniel J Brooks, Jordan M Spatz, Chrissy Conlon, J Ignacio Aguirre, Thomas J Wronski, Mary L Bouxsein",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124165/
RNAseq and RNA molecular barcoding reveal differential gene expression in cortical bone following hindlimb unloading in female mice,"Jordan M Spatz, Frank C Ko, Ugur M Ayturk, Matthew L Warman, Mary L Bouxsein",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8509868/
Proteomic and phosphoproteomic characterization of cardiovascular tissues after long term exposure to simulated space radiation,"Yared H Kidane, Franklin H Lee, Matthew F Smith, Chunbo Wang, Jacqueline Barbera Mirza, Saachi Sharma, Alejandro A Lobo, Krish C Dewan, Jengwei Chen, Thomas E Diaz, Michelle Mendiola Pla, Matthew W Foster, Dawn E Bowles",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11063234/
Adaptive Changes in the Vestibular System of Land Snail to a 30-Day Spaceflight and Readaptation on Return to Earth,"Nikolay Aseyev, Alia Kh Vinarskaya, Matvey Roshchin, Tatiana A Korshunova, Aleksey Yu Malyshev, Alena B Zuzina, Victor N Ierusalimsky, Maria S Lemak, Igor S Zakharov, Ivan A Novikov, Peter Kolosov, Ekaterina Chesnokova, Svetlana Volkova, Artem Kasianov, Leonid Uroshlev, Yekaterina Popova, Richard D Boyle, Pavel M Balaban",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5672023/
"Morphology of the Utricular Otolith Organ in the Toadfish,Opsanus tau","Richard Boyle, Reza Ehsanian, Alireza Mofrad, Yekaterina Popova, Joseph Varelas",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5899691/
"Influence of Magnitude and Duration of Altered Gravity and Readaptation to 1 g on the Structure and Function of the Utricle in Toadfish,Opsanus tau","Richard Boyle, Yekaterina Popova, Joseph Varelas",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6204554/
Organization of the ER–Golgi interface for membrane traffic control,"Federica Brandizzi, Charles Barlowe",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4064004/
IRE1: ER stress sensor and cell fate executor,"Yani Chen, Federica Brandizzi",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3818365/
INTER-REGULATION OF THE UNFOLDED PROTEIN RESPONSE AND AUXIN SIGNALING,"Yani Chen, Kyaw Aung, Jakub Rolčík, Kathryn Walicki, Jiří Friml, Federica Brandizzi",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3981873/
Endoplasmic reticulum—shape and function in stress translation,"Federica Brandizzi, Lorenzo Frigerio, Stephen H Howell, Patrick Schäfer",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4150462/
Galactose-Depleted Xyloglucan Is Dysfunctional and Leads to Dwarfism in Arabidopsis1,"Yingzhen Kong, Maria J Peña, Luciana Renna, Utku Avci, Sivakumar Pattathil, Sami T Tuomivaara, Xuemei Li, Wolf-Dieter Reiter, Federica Brandizzi, Michael G Hahn, Alan G Darvill, William S York, Malcolm A O’Neill",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378170/
"Unfolded protein response in plants: one master, many questions","Cristina Ruberti, Sang-Jin Kim, Giovanni Stefano, Federica Brandizzi",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4618186/
Vesicles versus Tubes: Is Endoplasmic Reticulum-Golgi Transport in Plants Fundamentally Different from Other Eukaryotes?1,"David G Robinson, Federica Brandizzi, Chris Hawes, Akihiko Nakano",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4453782/
"Pectin Methylesterification Impacts the Relationship between Photosynthesis and Plant Growth1,[OPEN]","Sarathi M Weraduwage, Sang-Jin Kim, Luciana Renna, Fransisca C Anozie, Thomas D Sharkey, Federica Brandizzi",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4902601/
REDUCED CHLOROPLAST COVERAGEgenes fromArabidopsis thalianahelp to establish the size of the chloroplast compartment,"Robert M Larkin, Giovanni Stefano, Michael E Ruckle, Andrea K Stavoe, Christopher A Sinkler, Federica Brandizzi, Carolyn M Malmstrom, Katherine W Osteryoung",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4776492/
Maintaining the Factory: The Roles of the Unfolded Protein Response in Cellular Homeostasis in Plants,"Evan Angelos, Cristina Ruberti, Sang-Jin Kim, Federica Brandizzi",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5415411/
NADPH Oxidase activity is required for ER stress survival in plants,"Evan Angelos, Federica Brandizzi",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6289879/
Relevance of the Unfolded Protein Response to Spaceflight-Induced Transcriptional Reprogramming inArabidopsis,"Evan Angelos, Dae Kwan Ko, Starla Zemelis-Durfee, Federica Brandizzi",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7987364/
Reanalysis of the Mars500 experiment reveals common gut microbiome alterations in astronauts induced by long-duration confinement,"NJB Brereton, FE Pitre, E Gonzalez",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8099722/
"Corrigendum: High atomic weight, high-energy radiation (HZE) induces transcriptional responses shared with conventional stresses in addition to a core “DSB” response specific to clastogenic treatments","Victor Missirian, Phillip A Conklin, Kevin M Culligan, Neil D Huefner, Anne B Britt",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5116466/
Genomic stability in response to high versus low linear energy transfer radiation inArabidopsis thaliana,"Neil D Huefner, Kaoru Yoshiyama, Joanna D Friesner, Phillip A Conklin, Anne B Britt",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4033213/
Acceleration profiles and processing methods for parabolic flight,"Christopher E Carr, Noelle C Bryan, Kendall N Saboda, Srinivasa A Bhattaru, Gary Ruvkun, Maria T Zuber",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6081456/
Cytoskeleton structure and total methylation of mouse cardiac and lung tissue during space flight,"Irina V Ogneva, Sergey S Loktev, Vladimir N Sychev",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5955502/
Toward countering muscle and bone loss with spaceflight: GSK3 as a potential target,"Ryan W Baranowski, Jessica L Braun, Briana L Hockey, Jenalyn L Yumol, Mia S Geromella, Colton JF Watson, Nigel Kurgan, Holt N Messner, Kennedy C Whitley, Adam J MacNeil, Guillemette Gauquelin-Koch, Fabrice Bertile, William Gittings, Rene Vandenboom, Wendy E Ward, Val A Fajardo",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10285634/
Spaceflight increases sarcoplasmic reticulum Ca2+leak and this cannot be counteracted with BuOE treatment,"Jessica L Braun, Val A Fajardo",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11271499/
Cardiovascular progenitor cells cultured aboard the International Space Station exhibit altered developmental and functional properties,"Jonathan Baio, Aida F Martinez, Ivan Silva, Carla V Hoehn, Stephanie Countryman, Leonard Bailey, Nahidh Hasaniya, Michael J Pecaut, Mary Kearns-Jonker",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6062551/
Inter-agency perspective: Translating advances in biomarker discovery and medical countermeasures development between terrestrial and space radiation environments,"Andrea L DiCarlo, Lisa S Carnell, Carmen I Rios, Pataje G Prasanna",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9832585/
Genomic and Functional Characterization ofEnterococcus faecalisIsolates Recovered From the International Space Station and Their Potential for Pathogenicity,"Noelle C Bryan, Francois Lebreton, Michael Gilmore, Gary Ruvkun, Maria T Zuber, Christopher E Carr",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7829349/
Evaluation ofin vitromacrophage differentiation during space flight,"M Teresa Ortega, Nanyan Lu, Stephen K Chapes",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3570223/
Identification of Critical Host Mitochondrion-Associated Genes duringEhrlichia chaffeensisInfections,"Tonia Von Ohlen, Alison Luce-Fedrow, M Teresa Ortega, Roman R Ganta, Stephen K Chapes",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3457586/
Ehrlichia chaffeensisreplication sites in adultDrosophila melanogaster,"Rishi Drolia, Tonia Von Ohlen, Stephen K Chapes",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3558598/
"Antiviral screening of natural, anti-inflammatory compound library against African swine fever virus","Joshua A Jackman, Astghik Hakobyan, Rafayela Grigoryan, Roza Izmailyan, Charles C Elrod, Hovakim Zakaryan",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11046949/
